page_id,model,quant,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,model_size_gb
1646340,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3785,3.75,5.99
4113566,llama-3.2-3b,f16,7,23.599999999999998,0.0,0.0,0.0,0,0,1,1.0,3601,5.65,5.99
1427090,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3876,4.06,5.99
1799129,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,549,9.84,5.99
323680,llama-3.2-3b,f16,16,42.099999999999994,0.0,0.0,0.0,0,0,0,0.0,3830,3.97,5.99
3611747,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,4035,4.25,5.99
2913532,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3059,41.24,5.99
3618248,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3694,3.61,5.99
1646394,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,1,0,0.0,2826,14.44,5.99
1000009,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,717,2.42,5.99
1652085,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3795,3.74,5.99
1026364,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3120,2.94,5.99
991358,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,4082,4.09,5.99
771053,llama-3.2-3b,f16,8,21.7,0.0,0.0,0.0,0,0,1,0.5,3243,7.83,5.99
1650540,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2104,2.02,5.99
1090783,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3612,3.5,5.99
1634594,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3836,3.77,5.99
5808084,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3638,3.71,5.99
1056273,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3617,21.86,5.99
7969431,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3482,3.56,5.99
4518560,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,648,9.5,5.99
1640893,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,1.0,547,32.33,5.99
1629748,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,750,3.06,5.99
4991838,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,580,7.7,5.99
1638930,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,709,2.39,5.99
7976694,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,649,13.54,5.99
4773722,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2446,39.1,5.99
1296142,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,573,32.33,5.99
2907867,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3802,3.73,5.99
7973758,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,1.0,581,32.5,5.99
4518749,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3772,3.9,5.99
1031264,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3734,3.65,5.99
1428869,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,1.0,829,6.73,5.99
1011497,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3517,3.39,5.99
5213119,llama-3.2-3b,f16,10,32.7,0.0,0.0,0.0,0,0,0,0.0,3428,3.54,5.99
2908863,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,651,8.13,5.99
8480731,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,644,32.75,5.99
1045443,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,562,4.73,5.99
1086391,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3860,3.8,5.99
1640610,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,1900,1.6,5.99
1046113,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3515,3.39,5.99
274440,llama-3.2-3b,f16,27,80.3,0.0,0.0,0.0,0,0,0,0.0,3577,23.26,5.99
1086808,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,1866,8.36,5.99
1042690,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2751,2.49,5.99
1205687,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3092,2.9,5.99
1650123,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,717,7.31,5.99
1629947,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3869,3.82,5.99
3612035,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2768,40.17,5.99
1641000,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3630,3.55,5.99
1651540,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,713,2.42,5.99
4672344,llama-3.2-3b,f16,26,78.2,0.6667,0.5,1.0,0,0,1,0.5,2251,8.67,5.99
1091226,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3792,3.94,5.99
