page_id,model,context_type,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,cost_usd
903697,gpt-4o,markdown,37,130.1,0.5,0.5,0.5,0,1,1,0.0,1545,2.44,0.003863
1296692,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,8142,31.26,0.020355
1206762,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,4819,1.11,0.012047
3518831,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,3380,5.97,0.00845
1644655,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,6092,3.41,0.01523
6671000,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,7364,18.32,0.01841
8463806,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,1237,1.66,0.003093
1023301,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,7995,22.85,0.019987
877631,gpt-4o,markdown,37,130.1,1.0,1.0,1.0,1,1,1,0.0,2899,0.66,0.007247
4013999,gpt-4o,markdown,12,36.1,0.5,0.5,0.5,0,1,1,0.0,8116,8.28,0.02029
1199246,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,7804,14.55,0.01951
1088630,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,1446,3.06,0.003615
1429838,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,0,1.0,3159,11.98,0.007898
1041534,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,655,0.78,0.001638
1427838,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,3398,10.19,0.008495
1001806,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,651,0.87,0.001628
7969756,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,7043,5.08,0.017608
3612083,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,1.0,584,0.74,0.00146
1052211,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,562,3.78,0.001405
7985491,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,8389,13.92,0.020973
1649808,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,557,0.82,0.001393
1799786,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,5573,12.58,0.013933
1650368,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,733,0.82,0.001832
7698560,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,2603,4.25,0.006508
7984560,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,8102,13.11,0.020255
7730526,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,584,3.57,0.00146
7982378,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,657,0.76,0.001643
4219690,gpt-4o,markdown,44,125.4,0.0,0.0,0.0,0,1,0,0.0,4074,14.01,0.010185
2909153,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,596,0.8,0.00149
1303652,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,594,0.75,0.001485
1303709,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,716,0.72,0.00179
1064076,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,8100,11.4,0.02025
8482780,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,8271,14.11,0.020678
6185264,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,3459,11.93,0.008648
1641976,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,3845,2.73,0.009612
7966866,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,1064,5.29,0.00266
1136370,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,2843,3.81,0.007108
1294384,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,4977,9.74,0.012443
1634121,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,0,0.0,8208,12.62,0.02052
1303220,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,0,1.0,6621,17.49,0.016553
1652502,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,0,0.0,6414,16.1,0.016035
983255,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,8207,10.55,0.020518
4884073,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,0,1.0,7930,18.89,0.019825
1799851,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,602,0.66,0.001505
7974080,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,1507,2.31,0.003768
8459244,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,6006,10.76,0.015015
1642144,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,727,0.63,0.001818
8467849,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,5185,10.58,0.012963
1643708,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,2575,3.92,0.006437
1026598,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,716,0.6,0.00179
1042897,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,0,1.0,2370,7.19,0.005925
1022119,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,4022,11.16,0.010055
1649552,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,4133,1.14,0.010332
6774662,gpt-4o,markdown,8,27.400000000000002,0.0,0.0,0.0,0,1,0,0.0,381,0.57,0.000953
856030,gpt-4o,markdown,37,130.1,1.0,1.0,1.0,1,1,1,0.0,3041,3.61,0.007602
1197426,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,0,0.0,8220,12.52,0.02055
1639498,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,0,0.0,8174,20.18,0.020435
1028648,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,782,0.62,0.001955
1422558,gpt-4o,markdown,20,72.60000000000001,0.6667,1.0,0.5,0,1,0,0.5,7879,12.5,0.019697
7967951,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,8136,12.01,0.02034
1630291,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,0,0.0,7800,15.49,0.0195
1302873,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,6127,10.75,0.015317
1082081,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,8127,13.01,0.020317
1003846,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,3646,10.82,0.009115
1044902,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,8072,11.09,0.02018
4579072,gpt-4o,markdown,16,46.4,0.0,0.0,0.0,0,1,1,0.0,7845,16.29,0.019613
1640388,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,8096,11.57,0.02024
1181590,gpt-4o,markdown,26,79.5,1.0,1.0,1.0,1,1,1,0.25,4892,12.91,0.01223
2909187,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,2627,10.35,0.006568
